sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52
Por1_E1,220323,0.03480351861396979,-0.1713304095447593,-0.026401685693498708,0.050146212892744665,0.0007997678714994538,0.06508592164546037,0.001807194740147983,0.02873943687569807,-0.0021994887210776697,0.02554653753468331,0.007192984322265855,0.00628552406841349,-0.007183863721206819,0.006754722788494245,-0.0012962009069606196,0.008883433564109375,0.020718125245786,-0.003466903973364559,0.0018245928764345633,-0.0013806669087243716,-0.007333457206687374,0.0029028554161314255,0.000383729570743844,-0.0014154216304449604,0.003281149284786387,2.2064780124215912e-05,-0.00010507870486139722,-0.0008443605792183612,0.0002361153030758074,-2.68279961770566e-05,-6.449486222623034e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_E2,220324,0.021269876192051,-0.20791353949012212,-0.04193589414304265,-0.013074088808255972,-0.0034363093382045492,-0.00080405061703546,0.0037246777726208736,0.011159877407390714,0.010288919061311104,-0.014265407453111074,-0.015172975786018898,-0.0010775064950154908,0.007478015336315076,0.0037331789778148054,0.006384609850747102,-0.003018411920826707,-0.002791767695425431,0.0034492853535198352,0.004629534164534892,-0.005099800259611224,-0.003234104123778036,0.003134888276130593,0.00020955897502093583,0.0008778706988018387,0.004431478680696798,0.001302212366800681,-9.567178367681475e-05,0.0012658115640415226,-0.0001646960567621635,0.0005357598650635819,0.0024225460360735155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_E3,220325,0.03822695126350786,-0.192412405472612,-0.062376184207526324,-0.013728484143272445,0.020750940036266173,0.027469402499251786,0.035680940318392966,-0.044430971522252866,-0.00430132559586387,-0.0026870591859424757,0.00957922445864571,0.0009679818892122295,-0.0012897691157799554,-0.011270929910912912,-0.001064293601370017,0.0024654238657810267,0.01718964884489526,-0.002703279508478711,0.004155756630235253,0.0034423358345530303,0.0041695281494788855,-0.0005985421497164417,-0.003950727662962628,-0.0011892498308689304,0.0035518050303349658,0.0008289325231384129,-0.0003069057090260759,0.00018344639556203056,9.49975941782127e-05,-1.3733334395626936e-06,4.267679294005267e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_E4,220326,0.01647452404803293,-0.18635813014086708,-0.03452178530349728,-0.010045943004828911,0.0005376444301534041,0.008174065830944195,0.00984563187600548,0.011553321364075516,0.010320392337651738,-0.012923106031520077,-0.014562512768655075,0.002310649625281855,0.019778474339898763,0.0018826492781614087,0.004450885006169033,0.010593643190758636,0.006587715746070777,-0.010149096750039005,0.007749044998045758,0.004394959995874698,0.007791876085967253,-0.001229309481650192,0.0031588028013905737,-0.0017817922029857304,0.0007481772157523657,-0.00043732222754521967,0.0002473688471856755,-0.0007351746172686226,7.025342688274834e-05,-5.4109156414941275e-05,-0.00035420937658087756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_W1,220327,0.02735144736448416,-0.22328956719426815,-0.046147227971188066,-0.009197549360566944,-0.012558772170822779,-0.046161896556553776,-0.0026649119730100088,0.002009266636158403,-0.003989180215412845,0.010479199147076528,-0.001339519014903993,0.0031622039512362574,-0.00249878705814215,0.002820218100561966,-0.006682306299169383,0.0034070668034676442,0.000968052010857286,-0.00983642237371488,0.005167536017272448,0.005020246514945481,0.0015583991389541728,-0.0009420424179893993,0.004473679945113735,-0.0039048730959602923,-0.012195534256307667,-0.0014740791584659156,-0.0007643624507599788,-0.00028726424512381395,-0.0007417966053266883,-0.00040095111426159495,0.00040321453677504666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_W2,220328,0.022880862612702127,-0.21326896082196709,-0.04503594025894651,-0.006936603351767184,0.00034246059671857944,-0.01642216643689421,0.05210735706829468,-0.03146211341249263,0.00047765220445364245,-0.0017718487281491223,-0.005905260066606505,0.005306204664613581,-0.004525160460955957,0.002517524201133346,0.003502438294033963,-0.007035398433677344,-0.005013809646917743,0.008324904158155452,0.0038243005938702257,-0.003747160708501553,-0.005832310409199352,0.00018212771518845503,0.0018700164323295328,-0.001231527697972494,-0.001994861258875108,-0.0009277638497858443,0.00018985232189019092,-9.547737864442435e-05,-0.00010984394350019282,-7.312343966262392e-05,4.795250724111528e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_W3,220329,0.020404045793337492,-0.20125782495582384,-0.038816340963456986,-0.020357887651175015,-0.012076603521986572,-0.08313398597761969,-0.01230417923094876,-0.003040788125500191,-0.015768708353480123,0.021059087913436605,0.011288498331434407,-0.00040906464939105227,0.0012131214891863272,-0.0036954619605265755,-0.007665834903637946,-0.001390314172346441,-0.00907435030112668,0.00300152777857614,0.0002313612563167855,-0.001024874966525958,0.0009056109661623973,-0.0003341695089955196,-0.0019781753245523273,0.002461174813519092,0.0058563488728554025,0.0005085437907414169,0.0004936084881164112,0.0004674491159589339,0.00021095432149068058,0.0001542796745484164,-4.7113155151945424e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_W4,220330,0.02280949227808369,-0.20893752114961028,-0.041897888031791584,-0.008064082729453989,-0.0046904938880597555,-0.0005734273786893149,0.005950811914406655,0.010568811814716925,0.010942143210650703,-0.014116258688118019,-0.01667250297071428,0.0006874232431943483,0.0072504638208355,0.005925665148083324,0.008030158904273776,-0.0016035394487354149,-0.002589841725183779,0.0034291178910194173,0.0030639399836823083,-0.007214178542125203,-0.007795754459143506,0.0036967895698507124,0.002516108283503628,-0.0006704223967069837,0.0008382502058189785,-0.001057086170202832,0.00019197154457931465,-0.0011449492515551492,2.886012776360086e-05,-0.00044510671095219443,-0.001963070660517993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_W1,220331,0.13105400680102886,0.12320200045811175,-0.046976628806212166,0.0141172061685474,0.05369708836737194,-0.001262751437152736,-0.04455133714078978,-0.029307116602133976,-0.0038117387246610784,-0.0030193615055121876,-0.005034793438278218,0.029804789409332223,0.005311842154098821,-0.009964714996599547,3.2272985699067404e-05,0.0008534389101719166,-0.0007624873012702085,0.00302792311071461,-0.0022216983440349713,-0.005743038977273632,0.0018096792162266336,-0.003100895125000247,-0.002455857234390945,-0.005690054910506421,0.0005795804885228168,-0.0008557781428179419,0.0009216446391709829,-0.00042777678456622003,0.0002759213255988053,-0.00018485620894264114,3.0270021475175482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_W2,220332,0.13677390333230843,0.13674513080382886,-0.05721657288970224,0.009468942330101985,0.023033210984373678,-0.008173030398728846,-0.00011824778246683616,0.00545404444289838,-0.006555564121229501,-0.020890683058349388,0.011065955666588547,-0.007085009934743297,0.000858261024794945,-0.005223130558167543,-0.01317691991159272,0.008769250659516137,-0.0015637637285445705,0.005751345722295261,-0.007332443497497034,-0.000661421127948967,0.001033561688359317,0.0013751343160436156,0.002599533540993637,0.0015297781608738055,-0.0013138149671905108,-0.0003523882789995944,-0.0014580626975389838,0.0007220313513856552,0.00018472474213539924,0.0004190269201793448,-0.00029228559986732165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
