sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6
C15-C15bn-C15by,1321410,-0.04992302821569842,0.010326161249077924,0.008730289400390062,-0.0003956997823597724,-0.0,0.0
C15/C116aa-C15ad,1323886,-0.05185587969578913,-0.007489956670122425,0.00029231161337857196,0.006718687134693947,-0.0,0.0
C15-C15aae,1323951,-0.04080982167305952,0.0007262731173529277,0.00016537415046047,-0.0009247333688282464,-0.0,0.0
C15-C15kl-C15he,1323259,-0.049259528793962774,0.008530738722021876,-0.009680822282173224,-0.00040891902617482326,-0.0,0.0
C15-C15ad-C15ai-C116-C116aa,1326013,-0.05545703941634495,-0.011783799510853664,0.00046573493590284674,-0.004969761163921242,-0.0,0.0
C57d/C57a,1321168,0.24730529779485488,-0.0003094169074770353,2.7112182041079335e-05,-1.9573793409147152e-05,-0.0,0.0
proportion_explained,0,0.9916860782190868,0.0050588057252882335,0.0022970230729273656,0.0009580929826975142,0.0,0.0
