sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6
C15-C15bn-C15by,1321410,-0.1691339890542118,0.052155216502394776,0.051822376292153485,-0.017982645455130505,0.034684653153468595,-0.0
C15/C116aa-C15ad,1323886,-0.16645739532070628,0.03204037114807152,-0.10258533827228,-0.023388457826231366,9.257879099214978e-17,-0.0
C15-C15aae,1323951,-0.15328774743349552,-0.19164987218273008,0.008429552696805617,0.001956563061900357,5.4719183553083614e-17,-0.0
C57d/C57a,1321168,0.8275516763568117,0.0029822208428614116,0.0001375639062524319,5.4978177452012504e-05,3.106037221767371e-17,-0.0
C15-C15kl-C15he,1323259,-0.1691339890542119,0.052155216502394686,0.05182237629215333,-0.017982645455130654,-0.034684653153468525,-0.0
C15-C15ad-C15ai-C116-C116aa,1326013,-0.16953855549418617,0.05231684718700774,-0.00962653091508288,0.057342207497142736,-3.2191667161970693e-17,-0.0
proportion_explained,0,0.9226700457096261,0.05156892194093312,0.018025244456525643,0.005035079000467749,0.002700708892447399,0.0
