sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6
C15-C15bn-C15by,1321410,-0.047834167672675905,-0.003273997139362454,0.001839236662286743,-0.0014506041751204248,0.0,0.0
C15/C116aa-C15ad,1323886,-0.0512694092229577,0.0046418755643405215,0.0012305406377451555,-0.0002118993496699864,0.0,0.0
C15-C15aae,1323951,-0.04523403754454847,0.0004071614833660493,0.00012699624372579916,-0.00040075734860843217,0.0,0.0
C15-C15kl-C15he,1323259,-0.04702802966229599,-0.0015160866525524579,0.0006169159238537223,0.002455420840191039,0.0,0.0
C15-C15ad-C15ai-C116-C116aa,1326013,-0.04913875838172298,-0.0003134052165728757,-0.0038082495820329705,-0.00038464409620260454,0.0,0.0
C57d/C57a,1321168,0.2405044024842011,5.4451960781205664e-05,-5.4398855774125574e-06,-7.515870589361088e-06,0.0,0.0
proportion_explained,0,0.9990917996469479,0.0005012129906041273,0.0002848646383654219,0.0001221227240823463,0.0,0.0
