sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Por_01_Top,226778,-0.1861727645078723,-0.020744120824494817,-0.012643771804930043,-0.0058529844108312365,-0.0007255683474099852,0.012242281244284298,0.007715640949434817,0.0036013509392295415,0.002758923028688788,0.0,0.0,0.0
Por_01_Bottom,226779,-0.2182444342672415,-0.030476585200905584,-0.023480671635152096,-0.0057786674765893335,0.003519511303901192,-0.024651061720520836,-0.004703551401532018,-0.000871860264016117,0.0006925657986386284,0.0,0.0,0.0
Por_02_Top,226780,-0.18533353212800346,-0.02060303510426045,-0.010897344629618336,-0.005838702071283327,0.0025532957974055723,0.012651803975269459,0.009106024007391718,-0.004625068196347568,-0.0017431613796764652,0.0,0.0,0.0
Por_02_Bottom,226781,-0.16318726743021802,-0.02034117721558173,-0.015416588764197445,0.00686247334610927,-0.006251448404457938,0.002974479096179716,-0.011902098099934276,0.002150944004473583,-0.001965888735091484,0.0,0.0,0.0
Por_03_Top,226782,0.10101216081243208,0.05894667464214227,-0.09776739147861359,0.06020032001550017,0.016139684605324323,-0.002629636136889241,0.006423800286971713,0.003118240278287147,-0.0018171391574608648,0.0,0.0,0.0
Por_03_Bottom,226783,0.10216978640016601,0.058297597534556454,-0.09999090201848251,0.05496795965541703,-0.001167118297754579,0.0029828409384342327,-0.0064074270031390535,-0.0034488968724287025,0.002099475569594155,0.0,0.0,0.0
Por_04_Top,226784,0.13104467193552188,-0.020107239580539765,-0.01251093950913269,-0.10140387720428849,0.027633420498378164,-0.0025281193862102536,0.0023848993791505254,-1.1626331971073762e-05,6.0460022232562654e-05,0.0,0.0,0.0
Por_04_Bottom,226785,0.14441540678887158,-0.021221814148863538,-0.06631738880905177,-0.0771414086773497,-0.0341129307287821,0.002967032540474255,-0.003855297904285063,0.00034975408852837,-0.00029194727531742037,0.0,0.0,0.0
Por_06_Top,226786,0.11681793150773827,-0.11651263556588594,0.08434457931481884,0.05155660306128897,0.003116523974374135,0.007443308384339362,-0.009936426514498869,0.00021815225392658307,5.9562517841300795e-05,0.0,0.0,0.0
Por_06_Bottom,226787,0.13284504976697326,-0.09862218896943103,0.05233322267243029,0.03410475982536905,-0.0027739751807152727,-0.00939602707275591,0.011819598786429136,-0.0004753084520889567,0.00012920349511159678,0.0,0.0,0.0
Por_07_Top,226788,0.01199352485978797,0.11520015074658524,0.10546842245706516,-0.02004749777389821,0.023316545129360454,0.003397729333944851,-0.00624002374838551,-0.00024446205233008425,0.0002310569199611552,0.0,0.0,0.0
Por_07_Bottom,226789,0.012639466261843934,0.11618437368667896,0.09687877420486432,0.008371021710555872,-0.031247940349624713,-0.005454631196551196,0.005594861262396365,0.00023878060473992254,-0.00021311080452354427,0.0,0.0,0.0
proportion_explained,0,0.611153222435187,0.15700755422010676,0.14534614291091272,0.07149754704408395,0.009905523180625035,0.002989732131107158,0.0018783854705565718,0.00016193250731447048,5.996010010643521e-05,0.0,0.0,0.0
