sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Por_01_Top,226778,-0.016852133381908142,-0.04694711791766751,0.006901413210657622,-0.04610154612182766,0.007465928670950326,0.003910693131444261,-0.003253551669435658,0.0011288269566416744,-0.0012489707121237886,-0.0,0.0,0.0
Por_01_Bottom,226779,-0.017125670189626584,-0.03985215945902704,0.0016336543417627566,-0.03604020808836212,0.008839362908596975,-0.009100199039862197,-0.0032565746874719846,4.966485973143833e-06,0.00022689889927749303,-0.0,0.0,0.0
Por_02_Top,226780,-0.01471499886493783,-0.045766046674504506,0.00867938645072776,-0.04166525437298997,0.007379433976352073,0.006403332114136521,-1.7416410178327712e-05,-0.0006570896487056633,0.0019399022930452503,-0.0,0.0,0.0
Por_02_Bottom,226781,-0.019941069516562434,-0.0448055682177327,0.0018802034513607233,-0.03641883105240306,0.008808528447433092,-0.0022362973585291933,0.00677164450716292,-0.0006389966470184694,-0.0008674910828548541,-0.0,0.0,0.0
Por_03_Top,226782,-0.04613992765163483,-0.02636420606279019,-0.07443750061173014,0.038753808136481264,0.007404391296457619,-1.2194847383022172e-05,-0.00076284835840311,-0.003643678612132239,0.0010464643426912096,-0.0,0.0,0.0
Por_03_Bottom,226783,-0.04297158324650373,-0.02350003022841373,-0.06819087134207437,0.036719156624641994,0.0074115276997576895,0.000981219094410238,0.00047627775663940293,0.00398234929052263,-0.0010156741351911723,-0.0,0.0,0.0
Por_04_Top,226784,0.143834755036039,0.15033846796611944,-0.023206302682169038,-0.011146217187144572,0.006735180764993556,6.979487159780782e-05,-3.663570829300393e-05,-5.194550061957516e-06,9.870538405120946e-06,-0.0,0.0,0.0
Por_04_Bottom,226785,-0.011599145183482821,0.07389069134217112,-0.025840629812894915,-0.02761835448754396,-0.0488604590071675,-0.00015227283398814228,0.0002262816947533944,5.259172352475888e-05,9.356944369829815e-05,-0.0,0.0,0.0
Por_06_Top,226786,-0.08522534099858815,0.08295616842709864,0.05473490844567484,0.027136175391751012,0.010719211817718174,-0.0011803329705465067,0.0007410245436088468,0.001967318228625466,0.0023202714228607486,-0.0,0.0,0.0
Por_06_Bottom,226787,-0.0780488939038071,0.0802744427817215,0.04892629404109821,0.025264061511258977,0.008707330149071388,0.0014731895680297669,-0.0008524962778666547,-0.002180483894666975,-0.002484472146298435,-0.0,0.0,0.0
Por_07_Top,226788,0.16640055236976212,-0.0632702371516366,0.027244081241918752,0.03199660762180603,0.012707378713825889,5.1266795020342894e-05,0.0001024665295738304,-8.462234997979134e-06,1.8614061205490588e-05,-0.0,0.0,0.0
Por_07_Bottom,226789,0.022383455531250523,-0.0969544048053385,0.04167536326566779,0.03912060202433223,-0.037317815437989135,-0.00020819852433056997,-0.00013817192009094316,-2.1470977135860704e-06,-3.8982924717354834e-05,-0.0,0.0,0.0
proportion_explained,0,0.3976258599696233,0.3764128477450698,0.1141927155921035,0.0833261578953144,0.026807859680046293,0.0008755669764447611,0.0004075059630664865,0.00023478710701068753,0.00011669907132092357,0.0,0.0,0.0
