sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Por_01_Top,226778,-0.26530214447314965,0.07715849511664521,-0.04875359081834292,-0.08746636728521054,0.020051871699673027,-0.01238142190421182,-0.027522903379279522,-0.0010070090091027688,0.012824792896021453,-0.0,0.0,0.0
Por_01_Bottom,226779,-0.26608563986876893,0.07576473599015568,-0.05770959666384219,-0.09444496897296026,0.025652493419266863,-0.0018205924124780116,0.055588984998691755,0.0012625905705832476,-4.5943479713459484e-05,-0.0,0.0,0.0
Por_02_Top,226780,-0.26708395586901734,0.08176144589025769,-0.05516104422374604,-0.0862232380996148,0.02872037842551768,-0.035470747027599996,-0.032870068577319986,0.0009954597824230152,-0.010528335153661344,-0.0,0.0,0.0
Por_02_Bottom,226781,-0.24304251370606672,0.03287091298719695,-0.06698167764630715,-0.10840620674686567,-0.049821092305074074,0.05467335599387348,0.0034149291797808874,-0.001360052435159902,-0.0021948480172350755,-0.0,0.0,0.0
Por_03_Top,226782,0.044995663576056576,-0.3799727402962604,0.0007246593688640879,0.0012218900867057162,0.027060865950776076,0.006392395402772777,-0.002467067101100986,0.02359861809243263,0.0003812291897574105,-0.0,0.0,0.0
Por_03_Bottom,226783,0.047250953694538224,-0.37894084444139153,0.0043001077211796,-0.003429033954100826,0.01597524492191897,-0.004455892543058927,0.0009107179236665864,-0.023754490376034592,-0.00035518770866444806,-0.0,0.0,0.0
Por_04_Top,226784,0.2751906425114206,0.15757790894629528,0.22286033598100424,-0.028430468677227243,0.10252474876064191,0.018543902847912207,-0.0013485351887520527,0.00022364664223107706,-0.00015497242491395956,-0.0,0.0,0.0
Por_04_Bottom,226785,0.344681377912,0.0447948083273494,0.19796053426359997,-0.17895644252881482,-0.09806460195896292,-0.024577883356066685,0.0028503311252313364,0.0005018144429646682,0.00012895944610762927,-0.0,0.0,0.0
Por_06_Top,226786,0.3467515205994047,0.09525113764060775,-0.2407540153363464,0.08448162285481438,0.0360242781865398,-0.05140798451015278,0.012070227724386456,0.000280229369015235,0.0006782680412799893,-0.0,0.0,0.0
Por_06_Bottom,226787,0.336612530915429,0.09270681617832394,-0.19145025350419906,0.06101316584916029,-0.04164636467935716,0.05809531111796487,-0.013736583294932509,-0.0007213539338773488,-0.000614709217095368,-0.0,0.0,0.0
Por_07_Top,226788,-0.170726987653693,0.07452195424594955,0.1503289832866874,0.22484110501922905,0.05338780021566917,0.017234434113751654,0.00043826492095237497,-0.0022155312634306087,-0.0005967601172299497,-0.0,0.0,0.0
Por_07_Bottom,226789,-0.18324144763815362,0.02650536941487044,0.0846355575714479,0.21579894245488515,-0.11986562263660869,-0.024824877722705745,0.002671701668676281,0.002196078117954469,0.00047750654533690155,-0.0,0.0,0.0
proportion_explained,0,0.48134905513593174,0.22489591248819202,0.1422026019795349,0.1108709611045826,0.028713722460714904,0.007750141831097076,0.0033265948365534905,0.0007140327396576063,0.00017697742373569132,0.0,0.0,0.0
