sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Por_01_Top,226778,-0.1409055552339127,0.11545465532107362,-0.11995297048197315,-0.05757018134371269,0.019217304208354644,-0.023434929415202466,-0.0013454389640439642,-0.0002641762917644338,4.478521479487333e-05,0.009793943079947545,-0.0,0.0
Por_01_Bottom,226779,-0.14291362116569625,0.1047317040561353,-0.09206026483245919,-0.06419332957296413,0.03863517877712858,0.02953672408232481,0.0027330569584228304,0.024486236773996993,-0.0007051616270980127,-0.0002895401186780079,-0.0,0.0
Por_02_Top,226780,-0.13982163099808434,0.11561434434889283,-0.12183242687401129,-0.05437120512300939,0.018074683220465973,-0.031457278190074975,-0.0019648624819149285,0.002294859147310719,-0.000211122231737235,-0.00845514880817754,-0.0,0.0
Por_02_Bottom,226781,-0.16564979433585986,0.10712658752457498,-0.08573052199609936,-0.05800317569897094,0.037301835295872506,0.025068024208603296,0.00012044587297197867,-0.02633471831386893,0.0010811534005105198,-0.0010976355247252197,-0.0,0.0
Por_03_Top,226782,-0.17393844345328036,-0.021392883460424537,0.2639431305278789,-0.015091641564926622,0.023704753435130343,-0.0037228546696216696,-5.693489993825937e-05,0.0018262466050034906,0.016951887045930206,1.7634264565727532e-05,-0.0,0.0
Por_03_Bottom,226783,-0.17000549570798923,-0.022570178487854944,0.25760134858855627,-0.014359190777506765,0.025260142373394762,-0.0029217264186294153,-0.000793132501404833,-0.0008683940972132721,-0.01730261108689481,9.039418927325202e-05,-0.0,0.0
Por_04_Top,226784,0.6879830865811419,-0.07798924685730642,0.02416185039442651,-0.05427803201850381,0.024573993596446974,-0.0006122122736174744,-0.0001178119061367228,0.0001392897306387918,4.391035425573829e-05,1.4418743820914052e-05,-0.0,0.0
Por_04_Bottom,226785,0.0836754810379929,-0.2358799938840108,-0.003575492322915002,-0.16941465291242716,-0.11376225742095046,0.0027597424233997323,0.0004960615705598515,-0.001034171816244966,-2.8301812473296238e-05,-0.00011179603824622171,-0.0,0.0
Por_06_Top,226786,-0.024996227770343705,-0.3389022833886225,-0.06916990686407405,0.12463843219634593,0.025073605900897473,-0.003236466155706106,0.02880512113773881,-0.0011475479250697357,-0.00011209484023981781,-1.3935728595473468e-05,-0.0,0.0
Por_06_Bottom,226787,-0.02288718909609583,-0.3525171268728434,-0.07403034102509605,0.12670803110008358,0.02270767001626237,0.003176410927051683,-0.028128795238030573,0.0009622777942152065,0.0002848497735195202,7.052399116318281e-05,-0.0,0.0
Por_07_Top,226788,0.3233344382510319,0.4196776416719696,0.0251885342761729,0.10255519226941004,0.012254050279768036,0.0006008108108208228,-0.0001235173184928199,-0.0009881536054252935,7.466205802418184e-05,-1.9226984614971165e-05,-0.0,0.0
Por_07_Bottom,226789,-0.11387504810890442,0.18664678002841598,-0.004542939390407157,0.13337975344618194,-0.13304095968276966,0.004243754670654488,0.00037580777027057776,0.000928251998417806,-0.00012195624859580258,3.689342850240926e-07,-0.0,0.0
proportion_explained,0,0.4518204468021374,0.3406006766077305,0.11674078922980319,0.06408966607723353,0.022621191520202935,0.0018844232521003392,0.0009911371722837177,0.0007926395182739095,0.0003567584648954685,0.00010227135533892511,0.0,0.0
