sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A1	C15	C15ev	C15by	C116aa	C15ai	16589_C	10255_C	C15wu	C15ad	C93l	C15dt	C15ks	67579_C	C15pm	C15tf	C116	C116ab	3075641_C	69713_C	C15qx	54734_C	C15jr	10257_C	C15gk	C15kl	139454_C	13451_C	C15gu	C15er	C15vq	7149_C	C15je	4548_C	C15ct	604_C	C15cn	C15ir	C15bb	C15sw	38402_C	4712_C	4686_C	139579_C	14683_C	C15ou	C15dn	C15bo	C116bf	154454_C	C15jk	C15qn	16193_C	139827_C	3089325_C	20702_C	C116ak	C15kt	C15bn	C116i	C116ao	4284019_C	C3pa	22917_C	17354_C	21431_C	151947_C	3085819_C	C15mg	C15af	54722_C	350908_C	C15bc	C15gr	C15ed	5144099_C	C15we	564_C	D1	D2ac	D2	D2d	D6	5144098_D	D1z	D1np	D17o	D4	D5
220331	Por2_W1	20240419_MY_BK_Por2_West_top1_field_MetaB_ITS2_Q2181795EL_Q2181148GQ_2411-cv-1351_R1.fastq.gz	cea87aad6ac8280a65dc9a6acb41acb1143523139196c4b87a4b7385a9c9dd9b	20240419_MY_BK_Por2_West_top1_field_MetaB_ITS2_Q2181795EL_Q2181148GQ_2411-cv-1351_R2.fastq.gz	c11c43856e7347d385ea9e8724eb138ba8d85e5570f75fbb27aa84c2a0e07d71	1154	20250219T114321_schloma1	2.5292503072511265	1.0342482589102826	0.016018025399426466	1.0323228185170013	0.015977058582548137	0.001925440393281442	4.096681687832855e-05	0.0	0.0	1.0	0.000737402703809914	0	0	0.05251945923801721	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	1.5	0	0.8280213027447767	0.011429741909053666	0.02380172060630889	0	0.006882425235559197	0.015157722244981565	0	0.011839410077836952	0	0	0.010528471937730438	0.012290045063498567	0	0.010692339205243753	0	0	0	0	0	0.009381401065137239	0.011102007374027037	0	0.010651372388365424	0.007824662023760753	0.00594018844735764	0	0	0	0.008848832445718968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052027857435477266	0	0	0	0	0.005325686194182712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005079885292912741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220339	Por2_E3	20240419_MY_BK_Por2_East_middle3_field_MetaB_ITS2_Q2181803EG_Q2181164G8_2411-cv-1359_R1.fastq.gz	75f0a951789546dce8af7d405e5447b6d92227550c2f124a940d5a21648ca9ec	20240419_MY_BK_Por2_East_middle3_field_MetaB_ITS2_Q2181803EG_Q2181164G8_2411-cv-1359_R2.fastq.gz	86294241f5b90ce5a6a8ee5ba010283b882a72e8494483de12b46f4a6c797b07	1154	20250219T114321_schloma1	2.5804274904438724	1.0513300569467197	0.015991887042671037	1.0461034402059444	0.015913877837584835	0.005226616740775411	7.800920508620017e-05	0.0	0.0	1.0	0.0007020828457758015	0	0	0.047234573679694206	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	1.8	0	0.8272876199391528	0.011740385365473126	0.02312972930805835	0	0.006240736406896014	0.016069896247757235	0	0.013768624697714331	0	0	0.010804274904438724	0.01357360168499883	0	0.009400109212887121	0	0	0	0	0	0.00951712302051642	0.00928309540525782	0	0.011233325532412824	0.008151961931507919	0.006903814650128715	0	0	0	0.006942819252671815	0	0	0	0	0.005304625945861612	0	0	0	0	0	0	0	0.0052656213433185115	0	0	0	0	0	0	0.005382635150947812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220341	Por2_E5	20240419_MY_BK_Por2_East_bottom5_field_MetaB_ITS2_Q2181805EW_Q2181168G6_2411-cv-1361_R1.fastq.gz	876da27f39c1f60f028246eccfb1ff0754926fb7ba8f1fad7c35118a6af50c54	20240419_MY_BK_Por2_East_bottom5_field_MetaB_ITS2_Q2181805EW_Q2181168G6_2411-cv-1361_R2.fastq.gz	7d97d0f9d5a4d525a515d5ae71acda8b63e11156496aa199a857f6de26140977	1154	20250219T114321_schloma1	2.592792590092624	1.0414744815689805	0.0151123110961113	1.037837027037162	0.01503731203359958	0.0036374545318183524	7.49990625117186e-05	0.0	0.0	1.0	0.0007124910938613267	0	0	0.04518693516331045	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	3.2	0	0.8242771965350433	0.0096748790640117	0.02463719203509956	0	0.006824914688566393	0.013537330783365208	0	0.012412344845689429	0	0	0.011024862189222634	0.010687366407919901	0	0.009787377657779277	0	0	0	0	0	0.01016237297033787	0.0096748790640117	0	0.0118873514081074	0.0077624029699628755	0.007799902501218735	0	0	0	0.008212397345033188	0	0	0	0	0	0	0	0	0.005662429219634755	0	0	0	0.005249934375820302	0	0.00483743953200585	0	0	0	0.00588742640716991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220338	Por2_E2	20240419_MY_BK_Por2_East_top2_field_MetaB_ITS2_Q2181802E8_Q2181162GQ_2411-cv-1358_R1.fastq.gz	c423b9391d6eb0c4e7a7b11b8eabffeecc5f21855e29cee007d33a267027bdc4	20240419_MY_BK_Por2_East_top2_field_MetaB_ITS2_Q2181802E8_Q2181162GQ_2411-cv-1358_R2.fastq.gz	76912a58c704f402a7a77dd5cce2141f95a625ef847683d06bd76307596d303d	1154	20250219T114321_schloma1	2.597542941644864	1.0428089333788344	0.015091191749137376	1.0377279793728433	0.0150153566147196	0.0050809540059909755	7.583513441777576e-05	0.0	0.0	1.0	0.0006825162097599818	0	0	0.05714177378379403	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	1.5	0	0.8215599287149736	0.011375270162666363	0.018655443066772835	0	0.005460129678079855	0.019072536306070604	0	0.012626549880559662	0	0	0.010692753952906382	0.013839912031244076	0	0.009934402608728623	0	0	0	0	0	0.011147764759413037	0.01141318772987525	0	0.017404163348879537	0.007697266143404239	0.007128502635270921	0	0	0	0.007697266143404239	0	0	0	0	0	0	0	0	0	0	0	0	0.004739695901110985	0	0.004512190497857657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005043036438782088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220332	Por2_W2	20240419_MY_BK_Por2_West_top2_field_MetaB_ITS2_Q2181796ET_Q2181150G3_2411-cv-1352_R1.fastq.gz	ebe6532eb59328aa85095f25785068a57035fb9369c420d6e2e7c0e150de4605	20240419_MY_BK_Por2_West_top2_field_MetaB_ITS2_Q2181796ET_Q2181150G3_2411-cv-1352_R2.fastq.gz	84ac2d7b3f35fc6167a715636f9800d7aeba6c7b131a6e2c695455560b64d82e	1154	20250219T114321_schloma1	2.5787480063795853	1.0369958988380041	0.013613579403053088	1.0358851674641147	0.013585099111414901	0.0011107313738892687	2.8480291638186374e-05	0.0	0.0	1.0	0.0005980861244019139	0	0	0.05266005923900661	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	1.9	0	0.8161881977671451	0.0098257006151743	0.021929824561403508	0	0.006920710868079289	0.015521758942811574	0	0.012559808612440191	0	0	0.010281385281385282	0.011449077238550922	0	0.008629528366370471	0	0	0	0	0	0.009597858282068808	0.009256094782410572	0.005525176577808157	0.010195944406470722	0.007604237867395762	0.0072055137844611525	0	0	0	0.008857370699475963	0	0	0	0	0.005325814536340852	0	0	0	0	0	0	0	0.0065504670767828664	0	0.005582137161084529	0	0	0	0.005439735702893598	0.005553656869446343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220342	Por2_E6	20240419_MY_BK_Por2_East_bottom6_field_MetaB_ITS2_Q2181806E6_Q2181170GH_2411-cv-1362_R1.fastq.gz	33be4f634be6e15e3cca8c181e0da13bd35bf6900a6f625c2be5efa168692d6a	20240419_MY_BK_Por2_East_bottom6_field_MetaB_ITS2_Q2181806E6_Q2181170GH_2411-cv-1362_R2.fastq.gz	ca369e7c0a6b9715041dd10101df321601e4dcc16ea30b3859b8c8fd5760b0fa	1154	20250219T114321_schloma1	2.574468085106383	1.0251588181909852	0.015881819098517696	1.0226378945245538	0.01583140062518907	0.0025209236664313806	5.041847332862761e-05	0.0	0.0	1.0	0.0010083694665725521	0	0	0.06009882020772411	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	3.8	0	0.8159221538771806	0.010033276192396894	0.020721992538065948	0	0.008470303519209438	0.01517596047191691	0	0.011142482605626702	0	0	0.01013411313905415	0.012201270545527882	0	0.009125743672481597	0	0	0	0	0	0.009478672985781991	0.008924069779167087	0.005041847332862761	0.010234950085711405	0.0065039830593929615	0.0065039830593929615	0	0.014066754058687103	0	0.008722395885852576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058989613794494305	0	0	0	0	0.005798124432792175	0	0	0	0	0	0	0	0.0058989613794494305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220334	Por2_W4	20240419_MY_BK_Por2_West_middle4_field_MetaB_ITS2_Q2181798EB_Q2181154G1_2411-cv-1354_R1.fastq.gz	8bf6033ed3d469d63e5cdf73069a894fdef28a9b6cd4f4ecd4964824212f074b	20240419_MY_BK_Por2_West_middle4_field_MetaB_ITS2_Q2181798EB_Q2181154G1_2411-cv-1354_R2.fastq.gz	e7a038057f68021061fff3636de3cd2d8d7c746b95b3ada3a930b4a56eba1251	1154	20250219T114321_schloma1	2.539573598130841	1.0231454439252337	0.014675817757009347	1.0205534462616823	0.014639310747663552	0.0025919976635514017	3.650700934579439e-05	0.0	0.0	1.0	0.0007666471962616822	0	0	0.052862149532710276	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	2.9	0	0.8095429322429907	0.009345794392523364	0.023474007009345793	0	0.0065712616822429905	0.013434579439252336	0	0.011682242990654205	0	0	0.009126752336448598	0.012266355140186916	0	0.009345794392523364	0	0	0	0	0	0.010148948598130841	0.010185455607476636	0.006826810747663552	0.010842581775700934	0.007045852803738318	0.007739485981308411	0	0.012923481308411216	0	0.005841121495327103	0	0	0	0	0.006352219626168224	0	0	0	0	0	0	0	0	0	0.005476051401869159	0	0	0	0.006023656542056075	0	0	0	0	0	0	0	0	0.005804614485981309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220333	Por2_W3	20240419_MY_BK_Por2_West_middle3_field_MetaB_ITS2_Q2181797E3_Q2181152GJ_2411-cv-1353_R1.fastq.gz	bdb1ba876137b70839f12e5f1e06a7e45a6260b96dccd043bfbdc5a548acbfff	20240419_MY_BK_Por2_West_middle3_field_MetaB_ITS2_Q2181797E3_Q2181152GJ_2411-cv-1353_R2.fastq.gz	6682e6cde9199fa613ff45e229a6d10553863d5e30170e8bd991551f40f30fe4	1154	20250219T114321_schloma1	2.566530212378853	1.027010951331304	0.01588467863265806	1.0249816311535636	0.0158496903537315	0.002029320177740457	3.49882789265596e-05	0.0	0.0	1.0	0.0008047304153108709	0	0	0.0648682691298415	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	2.3	0	0.8073895245092894	0.009936671215142927	0.020503131450963927	0	0.006437843322486967	0.014870018543787831	0	0.012665756971414576	0	0	0.01147615548791155	0.012560792134634898	0	0.008432175221300865	0	0	0	0	0	0.009306882194464855	0.010356530562261643	0	0.0089220111262727	0.006507819880340086	0.007382526853504076	0	0.010321542283335082	0	0.006717749553899444	0	0	0	0	0.004758405934012106	0	0	0	0	0	0	0	0.005493159791469858	0	0.005423183233616739	0	0	0	0.0049683356075714636	0.0049683356075714636	0	0	0	0	0	0	0	0.006087960533221371	0	0	0	0	0	0	0	0	0.0045134879815261885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220337	Por2_E1	20240419_MY_BK_Por2_East_top1_field_MetaB_ITS2_Q2181801E0_Q2181160GA_2411-cv-1357_R1.fastq.gz	c844cb8d106a0f9f5eaa4c58575ea2c5756879a6209930728d755a7f84ed45a7	20240419_MY_BK_Por2_East_top1_field_MetaB_ITS2_Q2181801E0_Q2181160GA_2411-cv-1357_R2.fastq.gz	657040adad5a86b8ca045bb3069438e3d21564bf83f659f38763b14030ec22de	1154	20250219T114321_schloma1	2.585434700790365	1.0372224313135114	0.014828754234098608	1.0338727888596162	0.014753481369966128	0.003349642453895371	7.527286413248025e-05	0.0	0.0	1.0	0.0008280015054572827	0	0	0.057508468197214904	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	1.5	0	0.8052691004892736	0.010274745954083554	0.02468949943545352	0	0.008581106511102747	0.014753481369966128	0	0.012156567557395559	0	0	0.010876928867143395	0.013662024840045164	0	0.008957470831765148	0	0	0	0	0	0.009898381633421152	0.010237109522017313	0	0.010462928114414754	0.007828377869777945	0.007113285660519383	0	0	0	0.008694015807301468	0	0	0	0	0	0	0	0	0.004892736168611215	0	0	0	0.00624764772299586	0	0.005005645464809936	0	0	0	0.005231464057207377	0.0057960105382009785	0.004365826119683854	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005005645464809936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220336	Por2_W6	20240419_MY_BK_Por2_West_bottom6_field_MetaB_ITS2_Q2181800EQ_Q2181158GX_2411-cv-1356_R1.fastq.gz	756ec64a42004d349ab9835a1dd7c8d08682dc291f9103f7d64989743d760e27	20240419_MY_BK_Por2_West_bottom6_field_MetaB_ITS2_Q2181800EQ_Q2181158GX_2411-cv-1356_R2.fastq.gz	e184d5a4defe80e52509e7fb9f10afd0b83e0df2bf3a63b15e530c57a4f17517	1154	20250219T114321_schloma1	2.547406775719048	1.0334134429025505	0.015039925575626018	1.029924800372122	0.014962400186060935	0.0034886425304287154	7.752538956508256e-05	0.0	0.0	1.0	0.0008915419799984495	0	0	0.05709744941468331	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	4.8	0	0.803201798589038	0.010737266454763935	0.02476936196604388	0	0.006899759671292348	0.015311264439103807	0	0.01213272346693542	0	0	0.00938057213737499	0.011396232266067136	0	0.008605318241724164	0	0	0	0	0	0.009806961779982944	0.008876657105201954	0	0.01147375765563222	0.009768199085200402	0.007519962787813009	0	0	0	0.008101403209551128	0	0	0	0	0.005891929606946275	0	0	0	0	0	0	0	0	0	0.005775641522598651	0	0	0	0.0062020311652066056	0.0058144042173811925	0.0041863710365144585	0	0	0	0	0	0	0.004302659120862082	0	0	0	0	0	0	0.005077913016512908	0	0	0	0	0	0.004767811458252578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
