sample_uid	A1	C15	C15ev	C15by	C116aa	C15ai	16589_C	10255_C	C15wu	C15ad	C93l	C15dt	C15ks	67579_C	C15pm	C15tf	C116	C116ab	3075641_C	69713_C	C15qx	54734_C	C15jr	10257_C	C15gk	C15kl	139454_C	13451_C	C15gu	C15er	C15vq	7149_C	C15je	4548_C	C15ct	604_C	C15cn	C15ir	C15bb	C15sw	38402_C	4712_C	4686_C	139579_C	14683_C	C15ou	C15dn	C15bo	C116bf	154454_C	C15jk	C15qn	16193_C	139827_C	3089325_C	20702_C	C116ak	C15kt	C15bn	C116i	C116ao	4284019_C	C3pa	22917_C	17354_C	21431_C	151947_C	3085819_C	C15mg	C15af	54722_C	350908_C	C15bc	C15gr	C15ed	5144099_C	C15we	564_C	D1	D2ac	D2	D2d	D6	5144098_D	D1z	D1np	D17o	D4	D5
220331	0	0.8280213027447767	0.011429741909053666	0.02380172060630889	0	0.006882425235559197	0.015157722244981565	0	0.011839410077836952	0	0	0.010528471937730438	0.012290045063498567	0	0.010692339205243753	0	0	0	0	0	0.009381401065137239	0.011102007374027037	0	0.010651372388365424	0.007824662023760753	0.00594018844735764	0	0	0	0.008848832445718968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052027857435477266	0	0	0	0	0.005325686194182712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005079885292912741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220339	0	0.8272876199391528	0.011740385365473126	0.02312972930805835	0	0.006240736406896014	0.016069896247757235	0	0.013768624697714331	0	0	0.010804274904438724	0.01357360168499883	0	0.009400109212887121	0	0	0	0	0	0.00951712302051642	0.00928309540525782	0	0.011233325532412824	0.008151961931507919	0.006903814650128715	0	0	0	0.006942819252671815	0	0	0	0	0.005304625945861612	0	0	0	0	0	0	0	0.0052656213433185115	0	0	0	0	0	0	0.005382635150947812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220341	0	0.8242771965350433	0.0096748790640117	0.02463719203509956	0	0.006824914688566393	0.013537330783365208	0	0.012412344845689429	0	0	0.011024862189222634	0.010687366407919901	0	0.009787377657779277	0	0	0	0	0	0.01016237297033787	0.0096748790640117	0	0.0118873514081074	0.0077624029699628755	0.007799902501218735	0	0	0	0.008212397345033188	0	0	0	0	0	0	0	0	0.005662429219634755	0	0	0	0.005249934375820302	0	0.00483743953200585	0	0	0	0.00588742640716991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220338	0	0.8215599287149736	0.011375270162666363	0.018655443066772835	0	0.005460129678079855	0.019072536306070604	0	0.012626549880559662	0	0	0.010692753952906382	0.013839912031244076	0	0.009934402608728623	0	0	0	0	0	0.011147764759413037	0.01141318772987525	0	0.017404163348879537	0.007697266143404239	0.007128502635270921	0	0	0	0.007697266143404239	0	0	0	0	0	0	0	0	0	0	0	0	0.004739695901110985	0	0.004512190497857657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005043036438782088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220332	0	0.8161881977671451	0.0098257006151743	0.021929824561403508	0	0.006920710868079289	0.015521758942811574	0	0.012559808612440191	0	0	0.010281385281385282	0.011449077238550922	0	0.008629528366370471	0	0	0	0	0	0.009597858282068808	0.009256094782410572	0.005525176577808157	0.010195944406470722	0.007604237867395762	0.0072055137844611525	0	0	0	0.008857370699475963	0	0	0	0	0.005325814536340852	0	0	0	0	0	0	0	0.0065504670767828664	0	0.005582137161084529	0	0	0	0.005439735702893598	0.005553656869446343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220342	0	0.8159221538771806	0.010033276192396894	0.020721992538065948	0	0.008470303519209438	0.01517596047191691	0	0.011142482605626702	0	0	0.01013411313905415	0.012201270545527882	0	0.009125743672481597	0	0	0	0	0	0.009478672985781991	0.008924069779167087	0.005041847332862761	0.010234950085711405	0.0065039830593929615	0.0065039830593929615	0	0.014066754058687103	0	0.008722395885852576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058989613794494305	0	0	0	0	0.005798124432792175	0	0	0	0	0	0	0	0.0058989613794494305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220334	0	0.8095429322429907	0.009345794392523364	0.023474007009345793	0	0.0065712616822429905	0.013434579439252336	0	0.011682242990654205	0	0	0.009126752336448598	0.012266355140186916	0	0.009345794392523364	0	0	0	0	0	0.010148948598130841	0.010185455607476636	0.006826810747663552	0.010842581775700934	0.007045852803738318	0.007739485981308411	0	0.012923481308411216	0	0.005841121495327103	0	0	0	0	0.006352219626168224	0	0	0	0	0	0	0	0	0	0.005476051401869159	0	0	0	0.006023656542056075	0	0	0	0	0	0	0	0	0.005804614485981309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220333	0	0.8073895245092894	0.009936671215142927	0.020503131450963927	0	0.006437843322486967	0.014870018543787831	0	0.012665756971414576	0	0	0.01147615548791155	0.012560792134634898	0	0.008432175221300865	0	0	0	0	0	0.009306882194464855	0.010356530562261643	0	0.0089220111262727	0.006507819880340086	0.007382526853504076	0	0.010321542283335082	0	0.006717749553899444	0	0	0	0	0.004758405934012106	0	0	0	0	0	0	0	0.005493159791469858	0	0.005423183233616739	0	0	0	0.0049683356075714636	0.0049683356075714636	0	0	0	0	0	0	0	0.006087960533221371	0	0	0	0	0	0	0	0	0.0045134879815261885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220337	0	0.8052691004892736	0.010274745954083554	0.02468949943545352	0	0.008581106511102747	0.014753481369966128	0	0.012156567557395559	0	0	0.010876928867143395	0.013662024840045164	0	0.008957470831765148	0	0	0	0	0	0.009898381633421152	0.010237109522017313	0	0.010462928114414754	0.007828377869777945	0.007113285660519383	0	0	0	0.008694015807301468	0	0	0	0	0	0	0	0	0.004892736168611215	0	0	0	0.00624764772299586	0	0.005005645464809936	0	0	0	0.005231464057207377	0.0057960105382009785	0.004365826119683854	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005005645464809936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220336	0	0.803201798589038	0.010737266454763935	0.02476936196604388	0	0.006899759671292348	0.015311264439103807	0	0.01213272346693542	0	0	0.00938057213737499	0.011396232266067136	0	0.008605318241724164	0	0	0	0	0	0.009806961779982944	0.008876657105201954	0	0.01147375765563222	0.009768199085200402	0.007519962787813009	0	0	0	0.008101403209551128	0	0	0	0	0.005891929606946275	0	0	0	0	0	0	0	0	0	0.005775641522598651	0	0	0	0.0062020311652066056	0.0058144042173811925	0.0041863710365144585	0	0	0	0	0	0	0.004302659120862082	0	0	0	0	0	0	0.005077913016512908	0	0	0	0	0	0.004767811458252578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
