sample_uid	C15	C15aae	C15bn	C15ai	C15by	C116aa	C15ay	C15ad	C15he	C93l	5366364_C	38400_C	C15tf	38401_C	C15pe	C116ab	5299311_C	3197409_C	C15cn	C15gu	C15mg	C116	C15ev	C93a	C15je	568188_C	C89i	C57d	190219_C	C15kl	22914_C	69713_C	C116ao	C15jr	C15dt	22917_C	446681_C	C3pa	4686_C	C57a	C116ak	C15gk	C116i	C15bq	32310_C	357890_C	13451_C	654644_C	C15aj	C15fh	38402_C	4661_C	776_C	35743_C	3480539_C	C15er	5366365_C
226781	0.6775669187916119	0.20481000045291906	0.0060238235427329135	0.007337288826486707	0.017256216314144663	0	0.021015444540060692	0	0	0	0.0176638434711717	0.01612391865573622	0	0.01118710086507541	0.008605462203904162	0	0	0	0	0	0	0	0	0	0.006522034512432628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005887947823723901	0	0	0	0	0	0	0	0	0	0	0	0
226779	0.6252507163323783	0.24874641833810887	0.0057664756446991405	0.006733524355300859	0.016368194842406876	0	0.019484240687679084	0	0	0	0.02238538681948424	0.014505730659025788	0	0.010888252148997135	0.006267908309455587	0	0	0	0	0	0	0	0	0.0054441260744985676	0.009527220630372493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004226361031518625	0	0	0	0	0	0	0	0	0	0	0	0.004405444126074499
226780	0.6562864171953904	0.21232034183607407	0.006182830506279943	0.0073805515991195135	0.01459924899650395	0	0.021623721351806294	0	0	0	0.018354266476757735	0.015214294963097242	0	0.010391039751391946	0.009322802019940438	0	0	0	0	0	0	0	0	0.006215201346626958	0.006797876472873236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00472614269066425	0	0.005308817816910527	0	0	0	0	0	0	0	0	0	0.005276446976563511	0
226778	0.656230358265242	0.2120521684475173	0.006560339409176619	0.006324638592080453	0.015359836580766813	0	0.02278441231929604	0	0	0	0.016656191074795726	0.01740257699560025	0	0.011785040854808297	0.008485229415461974	0	0	0	0	0	0	0	0	0.006206788183532369	0.010017284726587052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005460402262727844	0	0.004674732872407291	0	0	0	0	0	0	0	0	0	0	0
226789	0.7385194648019902	0.013783365830699926	0.1260337524373025	0.011396490284407987	0.015128084448329186	0	0.014186781415988704	0	0	0	0	0	0	0.006790829019027768	0.011799905869696765	0	0	0	0	0	0	0	0.02023801519532038	0.005748672090365091	0	0	0	0	0	0	0	0.008068311705775566	0	0	0.0065555032609426475	0	0	0	0	0	0	0.005143548712431924	0	0	0	0	0	0	0	0.00880790694547166	0.0077993679822497145	0	0	0	0	0	0
226788	0.7313829787234043	0.013888888888888888	0.11778115501519756	0.009793988517392773	0.012580209388720027	0	0.01405775075987842	0	0	0	0	0	0	0.007261060452549814	0.013002364066193853	0	0	0	0	0	0	0	0.018321513002364065	0.008232016210739615	0	0.015239783856805134	0	0.00911854103343465	0	0	0	0.009582911178655859	0	0	0.008527524484971294	0	0	0	0	0.005192502532928065	0	0.006036811887875718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226785	0.847520908004779	0	0	0	0	0.01724910394265233	0	0.013814217443249701	0	0.025313620071684587	0	0	0.031137992831541218	0	0	0	0.027628434886499402	0	0	0	0	0	0	0	0	0	0.015008960573476702	0	0.0114247311827957	0	0	0	0	0	0	0	0	0.00630973715651135	0	0	0	0	0	0	0	0	0	0.004592293906810036	0	0	0	0	0	0	0	0	0
226784	0.7900506708308104	0	0	0.010707798208993275	0	0.01940788425380031	0	0.011249561808853054	0	0.026610153287230313	0	0	0.028649733898467127	0	0	0	0.021606807100290004	0	0	0	0	0	0	0.0056725835750023905	0	0.01481882787851748	0.01201440453806686	0.016444118678096815	0.010803403550145002	0	0.007775901080340355	0	0	0	0	0	0	0.007266005927531152	0	0.007011058351126549	0	0	0	0	0	0	0	0.004461582587080531	0	0	0	0	0	0	0.005449504445648364	0	0
226783	0.8361193563505702	0	0.004374316513044837	0.013435400718637714	0.020684268083112013	0	0	0	0.04408686142790189	0	0	0	0	0	0	0	0	0.020840493672863614	0.021777847211373224	0	0	0	0	0	0	0	0	0	0	0.009685986564599281	0	0	0	0.005217934697703484	0	0	0.006561474769567255	0	0.006780190595219497	0	0	0	0	0	0	0	0	0	0.004530542102796438	0	0	0	0	0.00590532729261053	0	0	0
226782	0.8252493200362647	0	0.004397098821396192	0.013463281958295558	0.0199909338168631	0	0	0	0.048640072529465096	0	0	0	0	0	0	0	0	0.024116047144152313	0.022620126926563917	0	0	0	0	0	0	0	0	0	0	0.01128739800543971	0	0	0	0.005167724388032638	0	0	0.00757026291931097	0	0.0066183136899365365	0	0	0	0	0	0	0	0	0	0.0043064369900271985	0	0	0.00657298277425204	0	0	0	0	0
226787	0.7648489383593677	0	0	0.02410126898013906	0	0.03847472952327503	0	0.03947245346553176	0	0.0204533408162629	0	0	0	0	0	0.025878464752283854	0	0	0	0.02032862532348081	0.019455616874006175	0.0190814703956599	0	0	0	0	0	0	0	0	0.00586162816075827	0	0.008355938016400088	0	0	0.00757646618651202	0	0	0	0	0	0	0.006111059146322452	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226786	0.7271401612626522	0	0	0.025776290958998114	0	0.03838565791731	0	0.04323211528564076	0	0.019128495453765656	0	0	0	0	0	0.028135186138274145	0	0	0	0.021144278606965175	0.01951449648310173	0.019600274489620862	0	0	0	0	0	0	0	0	0.005704237433522045	0	0.008020243609538515	0.005189569394407274	0	0.006862240521530279	0	0	0	0	0.01170869788986104	0	0.004460456338994682	0	0	0	0.009950248756218905	0	0	0	0	0	0.006047349459598559	0	0	0	0
