sample_uid	1206650	1206619	1206616	1203600	1203098	1202067
220331	21154.0	0	0	0	0	0
220339	22206.0	0	0	0	0	0
220341	23002.0	0	0	0	0	0
220338	22699.0	0	0	0	0	0
220332	29920.0	0	0	0	0	0
220342	16893.0	0	0	0	0	0
220334	23149.0	0	0	0	0	0
220333	24140.0	0	0	0	0	0
220337	22385.0	0	0	0	0	0
220336	21656.0	0	0	0	0	0
220335	22037.0	0	0	0	0	0
220340	26011.0	0	0	0	0	0
220346	0	24983.0	0	0	0	0
220360	0	20265.0	0	0	0	0
220345	0	22948.0	0	0	0	0
220350	0	21227.0	0	0	0	0
220344	0	24450.0	0	0	0	0
220349	0	30223.0	0	0	0	0
220343	0	22553.0	0	0	0	0
220361	0	23943.0	0	0	0	0
220365	0	23159.0	0	0	0	0
220366	0	12991.0	0	0	0	0
220362	0	22571.0	0	0	0	0
220352	0	0	24024.0	0	0	0
220355	0	0	17734.0	0	0	0
220354	0	0	24330.0	0	0	0
220357	0	0	27192.0	0	0	0
220356	0	0	22574.0	0	0	0
220358	0	0	21401.0	0	0	0
220363	0	0	17117.0	0	0	0
220359	0	0	22120.0	0	0	0
220351	0	0	20980.0	0	0	0
220353	0	0	16119.0	0	0	0
220373	0	0	0	24869.0	0	0
220323	0	0	0	24605.0	0	0
220370	0	0	0	29408.0	0	0
220325	0	0	0	31711.0	0	0
220372	0	0	0	27699.0	0	0
220369	0	0	0	23992.0	0	0
220374	0	0	0	23991.0	0	0
220368	0	0	0	26370.0	0	0
220367	0	0	0	0	24361.0	0
220329	0	0	0	0	21636.0	0
220330	0	0	0	0	26573.0	0
220324	0	0	0	0	33034.0	0
220328	0	0	0	0	25293.0	0
220326	0	0	0	0	18253.0	0
220327	0	0	0	0	33057.0	0
220371	0	0	0	0	21921.0	0
220348	0	0	0	0	0	17305.0
220364	0	0	0	0	0	22517.0
220347	0	0	0	0	0	20629.0
