sample_uid	C15-C15aae	C15-C15bn-C15by	C15/C116aa-C15ad	C57d/C57a	C15-C15kl-C15he	517-714-14272	C15-C15ad-C15ai-C116-C116aa
226781	0.882376919244531	0	0	0	0	0
226779	0.8739971346704871	0	0	0	0	0
226780	0.8686067590314644	0	0	0	0	0
226778	0.8682825267127593	0	0	0	0	0
226789	0	0.8796813016876218	0	0	0	0
226788	0	0.8617443431273218	0	0.014311043566362716	0	0
226785	0	0	0.878584229390681	0	0	0
226784	0	0	0.8207081168934638	0.023455177029223367	0	0
226783	0	0	0	0	0.8898922043430714	0
226782	0	0	0	0	0.8851767905711695	0
226787	0	0	0	0	0	0.8859788607239735
226786	0	0	0	0	0	0.854134499914222
