sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6
C15-C15ev-C15dt-C15kl-C15pm,1206650,-0.08466520089760272,0.14170211926381196,-0.05014369353908721,-0.017227936940670062,0.0,0.0
C15-C15ev-C15dt,1203600,-0.09924485691724767,0.032313040070670214,0.00450901871656094,0.039670835449837974,0.0,0.0
C15-C15by-C15ai,1202067,0.06086377695125703,-0.12656942301170934,-0.05047757404600065,-3.0242108872239724e-05,0.0,0.0
C15-C15ev-C15by,1206616,-0.07955295272887886,-0.07850302541013751,-0.016771896523558462,-0.010304946293779434,0.0,0.0
C15-C15ev,1203098,-0.08974851672077883,-0.01984567543229704,0.09176052222906382,-0.01360974615353138,0.0,0.0
C15-C15ad-C15ai-C116-C116aa,1206619,0.29234775031325133,0.0509029645196615,0.021123623163021483,0.00150203604701513,0.0,0.0
proportion_explained,0,0.6579388138945497,0.2526003184318441,0.07765103435533675,0.011809833318269436,0.0,0.0
